AIRPORT: Empty node found. (row 2, column 5)
AIRPORT: Empty node found. (row 3, column 5)
AIRPORT: Empty node found. (row 4, column 5)
AIRPORT: Empty node found. (row 5, column 5)
AIRPORT: 'gates' attribute is not an unsigned positive integer. (row 1, column 1)
RUNWAY: Empty node found. (row 9, column 5)
RUNWAY: Empty node found. (row 10, column 5)
RUNWAY: Empty node found. (row 11, column 5)
RUNWAY: Empty node found. (row 12, column 5)
TAXIROUTE: Node does not contain anything. (row 14, column 9)
RUNWAY: 'length' attribute is not an unsigned positive integer. (row 8, column 1)
RUNWAY: referenced airport does not exist, make sure to declare runways after the referenced airport. (row 8, column 1)
RUNWAY: 'type' attribute does not contain a valid option. (row 8, column 1)
AIRPLANE: Empty node found. (row 19, column 5)
AIRPLANE: Empty node found. (row 20, column 5)
AIRPLANE: Empty node found. (row 21, column 5)
AIRPLANE: Empty node found. (row 22, column 5)
AIRPLANE: Empty node found. (row 23, column 5)
AIRPLANE: Empty node found. (row 24, column 5)
AIRPLANE: Empty node found. (row 25, column 5)
AIRPLANE: Empty node found. (row 26, column 5)
AIRPLANE: Empty node found. (row 27, column 5)
AIRPLANE: 'fuel' attribute is not an unsigned positive integer. (row 18, column 1)
AIRPLANE: 'passengers' attribute is not an unsigned positive integer. (row 18, column 1)
AIRPLANE: 'status' attribute does not contain a valid option. (row 18, column 1)
AIRPLANE: 'type' attribute does not contain a valid option. (row 18, column 1)
AIRPLANE: 'size' attribute does not contain a valid option. (row 18, column 1)
AIRPLANE: 'engine' attribute does not contain a valid option. (row 18, column 1)
